"x","y","Layer","cell_count","Dominant","ct_count","Astro","Endo","L2/3","L4","L5","L6","Oligo","Pvalb","Smc","Sst","Vip","dominant_hat"
1,1,"HPC",2,"Astro",2,0.324701165151784,0.174009907858961,0.13417499297958,0.000126772235370904,0.22188490080757,0.000126772235370905,0.000126772243207147,0.0221490143182672,0.0365871967893929,0.008620820239198,0.0774916851412984,"Astro"
1,10,"L5",7,"L5",4,0.141773003504087,0.0182173284773563,0.000333079374302792,0.0281517389960594,0.326188962006827,0.165674877413047,0.0758318887460911,0.118036402723559,0.029465872231676,0.0485135433816774,0.0478133031453165,"L5"
1,11,"L5",7,"L4",3,0.0761623328250273,0.0102811539750578,0.000242962555431331,0.219543938993288,0.259575229400819,0.134253373436352,0.0174739393975583,0.140783760708436,0.0311361750425998,0.0264062018305143,0.0841409318349156,"L5"
1,12,"L4",7,"L4",3,0.0713380979594416,0.0216478003249052,0.000208157335072007,0.436469868453664,0.041669677660373,0.0904979252725534,0.0401118530873781,0.0696065800303838,0.0472178775811975,0.15664773940875,0.0245844228862811,"L4"
1,13,"L4",11,"L4",4,0.093444850459729,0.0126146514887018,0.0869022910723335,0.40267351668921,0.117594320302214,0.0420523384559944,0.0197050144521205,0.10209414656619,0.0332481758936573,0.0238338826463234,0.0658368119735266,"L4"
1,14,"L2/3",7,"L2/3",2,0.0729825806204899,0.0230139787137121,0.200539991244323,0.314597428087455,0.0872194100194932,0.0985758873924201,0.0139865831999532,0.0365927745034218,0.0417413719772653,0.0207027667438399,0.0900472274976264,"L4"
1,15,"L2/3",9,"L2/3",4,0.078288570248974,0.0509019193133022,0.3074083465471,0.121551538838174,0.00763135997034592,0.119571738006473,0.0233773031401398,0.027305469507438,0.0449888298248169,0.181294086968973,0.0376808376342624,"L2/3"
1,16,"L2/3",7,"L2/3",2,0.0927295519338935,0.0540775660458627,0.408830373942261,0.107127266946597,0.047417063305699,0.060303660568671,0.0218131119942559,0.0600295239864759,0.0353362358930709,0.0582563902399283,0.0540792551432841,"L2/3"
1,17,"L2/3",8,"Endo",6,0.124200531794845,0.0432366124049147,0.25315225189195,0.135168918618295,0.0503975119126989,0.16550786047764,0.0220135999214021,0.0715246787145306,0.0476290964298594,0.0182064750684413,0.0689624627654232,"L2/3"
1,18,"L1",6,"L2/3",5,0.101483491678542,0.0554657029131543,0.198002416716164,0.130287052794065,0.0231149519002571,0.169207387570177,0.0134945248573957,0.0240157799001601,0.04658528161397,0.0939401273950441,0.14440328266107,"L2/3"
